player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
5343,M Jansen,Right hand Bat,Left arm Medium fast, ,Marco Jansen,Marco Jansen,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/M%20Jansen.png
5629,FA Allen,Right hand Bat,Slow Left arm Orthodox, ,Fabian Anthony Allen,Fabian Anthony,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/FA%20Allen.png
5935,Anuj Rawat,Left hand Bat, , ,Anuj Rawat,Anuj Rawat,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Anuj%20Rawat.png
7017,M Theekshana,Right hand Bat,Right arm Offbreak, ,Morawakage Maheesh Theekshana,Morawakage Maheesh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/M%20Theekshana.png
1833,JC Archer,Right hand Bat,Right arm Fast, ,Jofra Chioke Archer,Jofra Chioke,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/JC%20Archer.png
2142,DJ Willey,Left hand Bat,Left arm Fast medium, ,David Jonathan Willey,David Jonathan,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/DJ%20Willey.png
1849,PP Shaw,Right hand Bat,Right arm Offbreak, ,Prithvi Pankaj Shaw,Prithvi Pankaj,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/PP%20Shaw.png
6017,Umran Malik,Right hand Bat,Right arm Fast, ,Umran Malik,Umran Malik,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Umran%20Malik.png
2295,SP Goswami,Left hand Bat, ,Wicketkeeper,Shreevats Pratyush Goswami,Shreevats Pratyush,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/SP%20Goswami.png
3156,HF Gurney,Right hand Bat,Left arm Fast medium, ,Harry Frederick Gurney,Harry Frederick,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/HF%20Gurney.png
2743,CA Ingram,Left hand Bat,Legbreak,Wicketkeeper,Colin Alexander Ingram,Colin Alexander,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/CA%20Ingram.png
6798,Mukesh Choudhary,Left hand Bat,Left arm Medium, ,Mukesh Choudhary,Mukesh Choudhary,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mukesh%20Choudhary.png
3214,SD Lad,Right hand Bat,Right arm Offbreak, ,Siddhesh Dinesh Lad,Siddhesh Dinesh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/SD%20Lad.png
8305,J Little,Right hand Bat,Left arm Fast medium, ,Joshua Brian Little,Joshua Brian,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/J%20Little.png
8007,M Pathirana,Right hand Bat,Right arm Fast, ,Matheesha Pathirana,Matheesha Pathirana,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/M%20Pathirana.png
2701,S Dube,Left hand Bat,Right arm Medium, ,Shivam Dube,Shivam Dube,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/S%20Dube.png
3145,S Midhun,Right hand Bat,Legbreak Googly, ,Sudhesan Midhun,Sudhesan Midhun,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/S%20Midhun.png
2353,CJ Dala,Right hand Bat,Right arm Medium, ,Carl Junior Dala,Carl Junior,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/CJ%20Dala.png
6729,PVD Chameera,Right hand Bat,Right arm Fast, ,Pathira Vasan Dushmantha Chameera,Pathira Vasan,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/PVD%20Chameera.png
4097,PK Garg,Right hand Bat,Right arm Medium, ,Priyam K Garg,Priyam K,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/PK%20Garg.png
7192,Aman Hakim Khan,Right hand Bat,Right arm Medium, ,Aman Hakim Khan,Aman Hakim,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Aman%20Hakim%20Khan.png
6734,MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper,Matthew Scott Wade,Matthew Scott,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/MS%20Wade.png
4310,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox, ,Shahbaz Ahmed,Shahbaz Ahmed,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Shahbaz%20Ahmed.png
4059,Ravi Bishnoi,Right hand Bat,Legbreak Googly, ,Ravi Bishnoi,Ravi Bishnoi,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ravi%20Bishnoi.png
4134,KL Nagarkoti,Right hand Bat,Right arm Fast, ,Kamlesh Lachham Nagarkoti,Kamlesh Lachham,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/KL%20Nagarkoti.png
4320,DR Sams,Right hand Bat,Left arm Fast medium, ,Daniel Richard Sams,Daniel Richard,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/DR%20Sams.png
7496,DJ Mitchell,Right hand Bat,Right arm Medium, ,Daryl Joseph Mitchell,Daryl Joseph,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/DJ%20Mitchell.png
5422,C Sakariya,Left hand Bat,Left arm Medium fast, ,Chetan Sakariya,Chetan Sakariya,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/C%20Sakariya.png
2352,S Lamichhane,Right hand Bat,Legbreak Googly, ,Sandeep Lamichhane,Sandeep Lamichhane,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/S%20Lamichhane.png
2910,GH Vihari,Right hand Bat,Right arm Offbreak, ,Gade Hanuma Vihari,Gade Hanuma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/GH%20Vihari.png
8349,RR Rossouw,Left hand Bat,Right arm Offbreak, ,Rilee Roscoe Rossouw,Rilee Roscoe,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/RR%20Rossouw.png
4664,JR Hazlewood,Left hand Bat,Right arm Fast medium, ,Josh Reginald Hazlewood,Josh Reginald,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/JR%20Hazlewood.png
8333,KR Mayers,Left hand Bat,Right arm Medium, ,Kyle Rico Mayers,Kyle Rico,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/KR%20Mayers.png
